age,age_group,age_site,group,meta_p_AH_NAH,meta_p_AH_NC,meta_p_NAH_NC,meta_z_AH_NAH,meta_z_AH_NC,meta_z_NAH_NC,sex,sex_group,sex_site,site,site_group
0.301396384315823,0.604331650067983,NA,0.87413626229912,0.610772099691743,0.196096912051913,0.0375712584430155,0.508971644632757,-1.2927518107954,-2.07950173558846,0.912384882401365,0.855061277625704,NA,0.527133335380563,0.857809251772228
0.704382969618483,0.259382074570866,NA,0.230912377933667,0.909008431392698,0.0778391903013405,0.0924101571133535,-0.114289341492839,1.76336356779796,1.68281888963392,0.54274836268516,0.118330789372425,NA,0.186219543765054,0.267698570675519
0.438388537831479,0.973434520648531,NA,0.838152674424791,0.99317956016234,0.00287041240820895,0.00102231603269403,-0.00854825777750256,-2.98128529986047,-3.28431220799377,0.666713401168181,0.0340089917663301,NA,0.987766601625692,0.580269518940481
0.00586964207722237,0.669676720574967,NA,0.0786929043208145,0.728438276795819,1.48180138471384e-05,0.0189735606035258,-0.34720371937586,-4.33137637330166,-2.34605002745359,0.786724197408371,0.78213547082038,NA,0.00172270000591571,0.154128467530071
0.24833106102009,0.566681483300614,NA,0.305932607069377,0.619756114140125,0.33596336707731,0.919696154443328,-0.496196026550392,-0.962171690530505,0.100816467282588,0.0163184956162423,0.405643285926756,NA,0.0917774654154554,0.0105959445242507
0.373489888200338,0.62275381605365,NA,0.515306303189887,0.867927155741081,0.49910580487212,0.81001358821952,-0.166292007280452,-0.675897374379704,-0.240408501473792,0.49177788449125,0.362711566577528,NA,0.0761384208669601,0.00727480930743188
0.135769980943615,0.477021919929213,NA,0.78697500481834,0.390128299382373,0.0995475436963212,0.587232011784961,-0.859384715718888,-1.64705109653781,-0.54285155734362,0.83856246580507,0.375959170582186,NA,0.938868443095603,0.321020900124053
0.642384154131725,0.534464687095612,NA,0.414102880965128,0.669934439975527,0.601855570498632,0.93575466039939,0.426237986967774,0.521733968227701,0.0806067972193407,0.950395410702884,0.697777319404795,NA,0.276214927670405,0.831869849487689
0.0559664723024556,0.00765200329641273,NA,0.609741091788606,0.619813054453646,0.292494350369198,0.0877380567770999,0.496115315123236,-1.05266544654415,-1.70745208325297,0.00772957703999855,0.0215839968033848,NA,0.0693852594187759,0.888879048127295
0.68305809102915,0.211814224457985,NA,0.552891502928532,0.889882598164621,0.613189168880493,0.352906306180812,-0.138452764883285,0.505526388573231,0.928966773120051,0.0188312794080279,0.0716814359479147,NA,0.0267682980224064,0.838670193081526
0.498827537076652,0.578181607616206,NA,0.956962441441455,0.970850061124732,0.953885574693382,0.900067193527637,-0.0365421615036712,0.0578280753559925,-0.125576465170922,0.588573899865848,0.290512263503422,NA,0.976642370663629,0.91355766524942
0.996394219269199,0.117186754479354,NA,0.305932325107177,0.25996377105624,0.171617906284824,0.0146717642413717,1.1264767625267,-1.36702360662262,-2.44038136092927,0.72051826374667,0.642959950449507,NA,0.571570128008036,0.818233281855823
0.646003637011432,0.443297164270323,NA,0.0530545195649245,0.649523543198474,0.0147618927829635,0.00594525404584627,0.454424192278669,-2.43816846285381,-2.75078560236428,0.384875657793677,0.749684290302492,NA,0.074697194755982,0.319597208452591
0.546624747403474,0.120356579284999,NA,0.273964179266471,0.768293232655781,0.0264444568375674,0.0502382416318057,0.29460815381089,2.21962171683824,1.95792987624044,0.191447424063557,0.670291443553839,NA,0.0815240084964784,0.229092551187945
0.615070873831597,0.837350384859502,NA,0.135544870786442,0.604823205791339,0.454303559188109,0.999612610556474,-0.517477021056849,-0.748259647449183,-0.00048552068529388,0.377753938323546,0.252718885405126,NA,0.20538367552566,0.2116774530517
0.243484842148942,0.0584720044098793,NA,0.221270976221421,0.569142493347933,0.255830124180156,0.76975774863128,-0.56931484632707,-1.13630216700203,-0.292691786361368,0.935109690450086,0.817228652917645,NA,0.154437028938717,0.0118516599342229
0.794806847560819,0.629995257297978,NA,0.088732456461399,0.849048773007057,0.0125532822917243,0.0322151311669428,0.190332263627377,-2.49619711511844,-2.14173104319085,0.150801101611883,0.458851990650506,NA,0.853365497843583,0.293389612310277
0.543840466081715,0.630666162389414,NA,0.9964348345495,0.157437029749483,0.199959696796917,0.00977976550109063,1.41374417539803,-1.28166639902595,-2.58352049970211,0.302309940891177,0.25459136056583,NA,0.331948576994811,0.22044152498218
0.83872182129283,0.0987723172578658,NA,0.1642633806464,0.0615002031482289,0.148118340734298,0.826383201100942,1.86988202001637,1.44620988950348,-0.219342572594813,0.313536614856801,0.184753550395386,NA,0.0409030487237551,0.577100376715069
0.14552500843502,0.268863357962381,NA,0.352581301832746,0.603984986906431,0.178284564100425,0.0111815741603395,0.518678457233564,-1.34605566854028,-2.53697248637265,0.590207279000046,0.187351510441078,NA,0.267702589355554,0.364374282976325
0.0141610897461811,0.316965980499958,NA,0.112923255350699,0.220462684169129,0.150297855077558,0.0297349938056385,1.2252987368243,-1.43848018726486,-2.17360258923059,0.571404114112343,0.661287746024602,NA,0.545575033371324,0.572508714787615
0.210348017494902,0.690425978830812,NA,0.335580822165552,0.173924481436014,0.610947898592835,0.0661494279527662,1.35970125308694,-0.508720860047851,-1.83740975407394,0.901173436797389,0.803816572124529,NA,0.743821417947254,0.969585620451373
0.121230709973848,0.175341058052323,NA,0.607561962267163,0.81248935925563,0.416003662550337,0.184768764625132,0.237215826053097,-0.813373998162082,-1.32621417719507,0.245779060437852,0.0357646578782576,NA,0.00014301773897002,0.142360035174033
0.260351282859101,0.0334923097907798,NA,0.0152234350371776,0.697204442400864,0.046616593356535,0.018024786364325,0.38909693271012,1.98976713486697,2.36510856215246,0.644451838191714,0.236380306135946,NA,0.112016208279873,0.312669289677361
0.203735465996573,0.350750399687077,NA,0.0649137909732823,0.103495598152689,0.432668881145419,0.0123676733189101,-1.6281381390268,0.784632820639848,2.50147626219627,0.729968409210559,0.239034637235256,NA,0.242397540326687,0.320192815324591
0.131477653144938,0.379716148282323,NA,0.221502161193297,0.289004025965139,0.136241893071919,0.5957032489793,1.06030904430991,1.48993284982873,0.53058953525143,0.645637171636477,0.77850714797608,NA,0.00135997587665417,0.113095264454427
0.314222062305544,0.476892014348466,NA,0.689170877633496,0.99762298640993,0.1753026768862,0.211015392087468,-0.00297914914384115,1.3553606606758,1.25077825057741,0.578963821337619,0.461091749719401,NA,0.91513895124798,0.580353921232421
0.0199246343758936,0.162682882885217,NA,0.507326040804573,0.383188352238755,0.61084494241876,0.857477828196527,0.872036708063342,0.508867727511649,-0.179585704721865,0.0437967491041831,0.909676769866762,NA,0.518137745045027,0.318456796668033
